batch_time_avg,batch_time_cv_percent,batch_time_max,batch_time_max_min_ratio,batch_time_min,batches_per_second,cell_sets_per_sec,cumulative_flops,cumulative_flops_val_sync,decoder_loss,epoch,flops_per_batch,mfu (%),step,train/gradient_norm,train_loss,val/decoder_loss,val_loss
,,,,,,261.3946838378906,48987537145856.0,,2.0347111225128174,0,979750748160.0,6.669313430786133,49,7.184481143951416,0.9510040879249573,,
0.1358906626701355,291.0160217285156,2.919999361038208,85.32846069335938,0.03422069549560547,7.35885763168335,251.9239044189453,97975074291712.0,,1.9776043891906738,0,979750748160.0,6.427672863006592,99,9.466448783874512,0.5605133771896362,,
,,,,,,,146962607243264.0,,1.3580553531646729,1,,,149,6.941590309143066,0.35736268758773804,,
0.05908563733100891,37.76993942260742,0.10860276222229004,4.31467342376709,0.025170564651489258,16.92458724975586,226.71849060058594,195950148583424.0,,1.1911842823028564,1,,5.784573078155518,199,2.7231926918029785,0.3164287209510803,,
0.07719103246927261,24.366058349609375,0.11634993553161621,2.674377202987671,0.04350543022155762,12.954872131347656,299.5122375488281,244937689923584.0,,1.1558893918991089,1,,7.641858100891113,249,3.540398359298706,0.16331449151039124,,
,,,,,,,293925214486528.0,,1.3698370456695557,2,,,299,3.7271840572357178,0.2417146861553192,,
0.060932476073503494,36.425697326660156,0.12963032722473145,5.783215522766113,0.0224149227142334,16.411609649658203,263.9900207519531,342912772603904.0,,1.547633409500122,2,,6.735531806945801,349,3.641106605529785,0.2227485179901123,,
0.080062635242939,29.11431312561035,0.14709782600402832,3.311539888381958,0.04441976547241211,12.49022102355957,231.2769317626953,391900297166848.0,,1.6372617483139038,2,,5.90087890625,399,5.58328104019165,0.23619697988033295,,
,,,,,,,440887821729792.0,,1.2498059272766113,3,,,449,4.164851188659668,0.22365301847457886,,
0.06041773036122322,42.42599105834961,0.1547713279724121,6.976217746734619,0.022185564041137695,16.55143165588379,274.2007141113281,489875379847168.0,,0.9936404824256897,3,,6.996050834655762,499,3.906799554824829,0.0962563306093216,,
0.07414723187685013,25.412139892578125,0.12523484230041504,3.8775265216827393,0.032297611236572266,13.48668098449707,300.22314453125,538862904410112.0,,1.2766481637954712,3,,7.659996032714844,549,5.537189960479736,0.12460467219352722,,
,,,,,,,587850428973056.0,,1.189596176147461,4,,,599,3.7610418796539307,0.10995322465896606,,
0.06252691894769669,39.60287857055664,0.13225936889648438,5.770145416259766,0.022921323776245117,15.993111610412598,275.6664123535156,636837953536000.0,,1.0057746171951294,4,,7.033447265625,649,1.976148247718811,0.08903340995311737,,
0.08002502471208572,25.480470657348633,0.14419293403625488,2.6562180519104004,0.05428504943847656,12.49609088897705,245.0396728515625,685825545207808.0,,0.9935910105705261,4,,6.252026081085205,699,3.4489834308624268,0.14898791909217834,,
,,,,,,,734813069770752.0,,0.9935367703437805,5,,,749,6.068199634552002,0.09269732981920242,,
0.06716635823249817,40.77460861206055,0.1393413543701172,6.091533660888672,0.02287459373474121,14.888406753540039,350.09405517578125,783800594333696.0,,1.1909570693969727,5,,8.932419776916504,799,5.037121295928955,0.07987602800130844,,
0.0783688947558403,29.170082092285156,0.16179299354553223,4.350727081298828,0.03718757629394531,12.760165214538574,297.0707702636719,832788118896640.0,,0.9787671566009521,5,,7.579565048217773,849,7.5616068840026855,0.21244916319847107,,
,,,,,,,881775643459584.0,,1.3212783336639404,6,,,899,4.573818683624268,0.08142507076263428,,
0.07270307838916779,88.62439727783203,0.6377613544464111,28.887935638427734,0.022077083587646484,13.754575729370117,272.9667663574219,930763235131392.0,,1.0638401508331299,6,,6.964567184448242,949,2.470125913619995,0.09286309778690338,,
0.07284031063318253,22.591833114624023,0.11236166954040527,3.3090555667877197,0.03395581245422363,13.72866153717041,309.82000732421875,979750759694336.0,,0.9807363748550415,6,,7.904853820800781,999,2.9938130378723145,0.07025033235549927,,
,,,,,,,1028738284257280.0,,0.9400085806846619,7,,,1049,1.3971339464187622,0.05532218888401985,,
0.06038202717900276,40.374183654785156,0.11847949028015137,5.2619547843933105,0.022516250610351562,16.561220169067383,244.69638061523438,1077725808820224.0,,1.4127097129821777,7,,6.24326753616333,1099,5.064350128173828,0.2349030077457428,,
0.07669759541749954,23.27648162841797,0.13490939140319824,3.421830415725708,0.03942608833312988,13.03821849822998,263.4053649902344,1126713400492032.0,,1.4004590511322021,7,,6.720614433288574,1149,5.632045269012451,0.1414600908756256,,
,,,,,,,1175700857946112.0,,1.2226903438568115,8,,,1199,2.4151451587677,0.11326435208320618,,
0.056013669818639755,38.69275665283203,0.12095355987548828,5.453134536743164,0.022180557250976562,17.852785110473633,251.7606201171875,1224688449617920.0,,0.9245377779006958,8,,6.423506736755371,1249,2.15099835395813,0.05631539225578308,,
0.07475856691598892,34.553768157958984,0.14975881576538086,3.636065721511841,0.04118704795837402,13.37639331817627,321.0822448730469,1273675907072000.0,,1.044954776763916,8,,8.1922025680542,1299,2.1285464763641357,0.0663309171795845,,
,,,,,,,1322663498743808.0,,1.3518426418304443,9,,,1349,4.373870372772217,0.08983512222766876,,
0.06373405456542969,65.05196380615234,0.3790724277496338,16.716203689575195,0.022676944732666016,15.690197944641113,228.69314575195312,1371651090415616.0,,1.1670632362365723,9,,5.834955215454102,1399,4.425179958343506,0.0985657200217247,,
0.08115970343351364,27.12265968322754,0.1328115463256836,3.671192169189453,0.03617668151855469,12.321385383605957,312.5965270996094,1420638547869696.0,,1.3789393901824951,9,,7.9756951332092285,1449,2.3205249309539795,0.08229140192270279,,
